ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,albany,42.6001,-73.9662,20.3,77,48,0.38,US,1722592873
2,vegreville,53.5001,-112.0518,15.17,96,84,3.6,CA,1722592905
3,thompson,55.7435,-97.8558,14.09,82,0,3.09,CA,1722592723
4,grytviken,-54.2811,-36.5092,-1.23,98,100,4.8,GS,1722592697
5,castro,-24.7911,-50.0119,10.29,98,16,2.52,BR,1722592909
6,kudahuvadhoo,2.6708,72.8944,28.7,71,98,2.3,MV,1722592910
7,kodiak,57.79,-152.4072,9.73,87,0,2.57,US,1722592715
8,pandan,14.0453,124.1694,28.5,76,37,1.11,PH,1722592912
9,demre,36.2537,29.9777,32.44,37,0,3.88,TR,1722592914
10,waitangi,-43.9535,-176.5597,8.23,83,43,5.36,NZ,1722592714
11,labrador city,52.9463,-66.9114,16.77,71,0,3.58,CA,1722592719
12,baro,8.6,6.4167,27.0,77,100,2.49,NG,1722592917
13,magog,45.2668,-72.1491,20.24,97,1,1.86,CA,1722592918
14,sinop,41.7711,34.8709,27.0,39,0,4.58,TR,1722592753
15,bethel,41.3712,-73.414,22.93,88,0,0.0,US,1722592770
16,blackmans bay,-43.0167,147.3167,9.74,67,86,4.68,AU,1722592708
17,torghay,49.6339,63.4981,31.74,22,7,7.74,KZ,1722592923
18,maffra,-37.9667,146.9833,6.22,79,69,1.62,AU,1722592924
19,kerikeri,-35.2268,173.9474,12.17,92,100,2.68,NZ,1722592926
20,daru,-9.0763,143.2092,24.64,88,64,8.93,PG,1722592869
21,stanley,54.868,-1.6985,22.38,66,0,3.6,GB,1722592874
22,isafjordur,66.0755,-23.124,7.02,87,100,8.23,IS,1722592764
23,whangarei,-35.7317,174.3239,11.48,92,100,4.52,NZ,1722592931
24,elhovo,42.1667,26.5667,33.97,30,0,1.54,BG,1722592932
25,adamstown,-25.066,-130.1015,20.64,82,100,7.75,PN,1722592664
26,santana,-0.0583,-51.1817,24.1,94,0,1.54,BR,1722592935
27,flying fish cove,-10.4217,105.6791,25.82,83,75,4.12,CX,1722592936
28,varzea alegre,-5.35,-40.3833,22.2,54,7,4.19,BR,1722592937
29,port-aux-francais,-49.35,70.2167,3.91,99,100,1.26,TF,1722592662
30,revda,56.801,59.9303,19.3,82,94,3.67,RU,1722592939
31,hotan,37.0997,79.9269,38.74,14,1,4.95,CN,1722592941
32,papatowai,-46.5619,169.4708,4.09,89,4,1.62,NZ,1722592792
33,beyneu,45.3167,55.2,33.4,20,0,7.47,KZ,1722592943
34,margate,51.3813,1.3862,24.37,75,6,0.89,GB,1722592944
35,brazzaville,-4.2658,15.2832,24.17,35,65,1.49,CG,1722592945
36,mossel bay,-34.1831,22.146,14.96,62,15,1.77,ZA,1722592845
37,hamilton,39.1834,-84.5333,22.81,95,100,2.57,US,1722592948
38,plopsoru,44.7833,23.35,35.91,14,19,2.26,RO,1722592949
39,springbok,-29.6643,17.8865,18.08,8,6,2.11,ZA,1722592950
40,fale old settlement,-9.3852,-171.2468,28.11,74,23,6.75,TK,1722592951
41,bilibino,68.0546,166.4372,6.19,58,21,0.6,RU,1722592953
42,tiksi,71.6872,128.8694,6.1,64,83,0.91,RU,1722592954
43,remire-montjoly,4.9167,-52.2667,24.02,100,0,1.03,GF,1722592955
44,diapaga,12.0708,1.7889,27.84,69,99,5.69,BF,1722592956
45,nar'yan-mar,67.6713,53.087,24.39,46,70,7.77,RU,1722592958
46,tura,25.5198,90.2201,24.17,97,100,2.59,IN,1722592787
47,weno,7.4515,151.8468,27.97,83,100,2.57,FM,1722592960
48,port elizabeth,-33.918,25.5701,18.39,63,0,5.66,ZA,1722592961
49,ribeira grande,38.5167,-28.7,25.43,88,20,3.58,PT,1722592962
50,port alfred,-33.5906,26.891,18.43,65,55,2.24,ZA,1722592964
51,gakem,6.7658,8.9881,27.51,73,97,3.73,NG,1722592965
52,bamboo flat,11.7,92.7167,29.05,84,100,5.14,IN,1722592966
53,yellowknife,62.456,-114.3525,10.79,79,75,1.54,CA,1722592781
54,kiunga,-6.1219,141.2906,23.12,98,100,1.61,PG,1722592968
55,hadibu,12.65,54.0333,27.11,68,100,12.63,YE,1722592970
56,enewetak,11.3474,162.3373,28.81,77,100,4.84,MH,1722592971
57,nuuk,64.1835,-51.7216,3.34,100,100,9.26,GL,1722592972
58,qaqortoq,60.7167,-46.0333,7.09,73,18,1.16,GL,1722592973
59,las lomitas,-24.7096,-60.593,27.35,31,0,6.65,AR,1722592974
60,port mathurin,-19.6833,63.4167,22.29,65,0,6.06,MU,1722592976
61,kone,-21.0595,164.8658,16.88,88,99,1.4,NC,1722592977
62,muang phonsavan,19.45,103.2167,18.53,100,100,0.99,LA,1722592978
63,sao joao da barra,-21.6403,-41.0511,17.05,75,41,3.33,BR,1722592979
64,santander,43.4647,-3.8044,20.89,86,75,3.09,ES,1722592981
65,zhezqazghan,47.7833,67.7667,36.32,13,40,2.0,KZ,1722592982
66,saint-philippe,-21.3585,55.7679,25.77,61,9,4.98,RE,1722592983
67,lerwick,60.1545,-1.1494,16.0,88,100,8.33,GB,1722592984
68,kayangel,8.0823,134.7173,29.11,76,100,6.32,PW,1722592985
69,west island,-12.1568,96.8225,27.99,74,75,8.23,CC,1722592987
70,alappuzha,9.49,76.3264,28.02,72,99,4.15,IN,1722592988
71,chonchi,-42.6128,-73.8092,9.56,96,84,2.37,CL,1722592989
